ResponseId,MainBranch,Employment,EdLevel,OrgSize,YearsCodePro,YearsCode,DevType,ConvertedCompYearly,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSys,Age,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,CodingActivities,Gender
78242,I am a developer by profession,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",35,37,Project manager,,Assembly;C;C#;C++;Cobol;Delphi;Elixir;Fortran;Java;JavaScript;Python;SQL;Visual Basic (.Net),Java;JavaScript;Python;R;SQL,IBM DB2;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,Microsoft SQL Server;MongoDB;MySQL;Oracle;Redis,Amazon Web Services (AWS);Microsoft Azure;VMware,Amazon Web Services (AWS);Google Cloud;Heroku;IBM Cloud Or Watson;Microsoft Azure;Oracle Cloud Infrastructure (OCI),Angular;ASP.NET;jQuery;Node.js;React;Spring Boot,Node.js;Spring Boot,Eclipse;IntelliJ IDEA;Netbeans;Sublime Text;Visual Studio;Visual Studio Code,Eclipse;Visual Studio Code,Other Linux-based;Windows,45-54 years old,.NET (5+) ;Spring Framework;Xamarin,.NET (5+) ;Apache Kafka;NumPy;Pandas;RabbitMQ;React Native;Spring Framework;TensorFlow;Torch/PyTorch,Professional development or self-paced learning from online courses;School or academic work,
78271,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Just me - I am a freelancer, sole proprietor, etc.",25,25,"Developer, full-stack",48690.0,Delphi;HTML/CSS;JavaScript,Delphi;HTML/CSS;JavaScript,Microsoft SQL Server;PostgreSQL,Cosmos DB;Microsoft SQL Server;PostgreSQL;SQLite,Amazon Web Services (AWS),Microsoft Azure,,,"Rad Studio (Delphi, C++ Builder)","Rad Studio (Delphi, C++ Builder)",Android;Windows,35-44 years old,,,Hobby;Other (please specify):,
78366,I am learning to code,"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,,1,Student,,,,,,,,,,,,,18-24 years old,,,Hobby,
78433,I am a developer by profession,"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2 to 9 employees,Less than 1 year,2,"Developer, front-end",1623.0,HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,MongoDB;MySQL,MongoDB;MySQL,,,Express;jQuery;Node.js;React;WordPress,Express;Node.js;React,Visual Studio Code,Eclipse;Visual Studio Code,Ubuntu,25-34 years old,NumPy;Pandas,NumPy;Pandas;React Native,Professional development or self-paced learning from online courses,
78472,"I am not primarily a developer, but I write code sometimes as part of my work/studies","Employed, full-time;Student, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,,7,Data or business analyst,,C#;SQL,Assembly;Bash/Shell (all shells);C;C++;PowerShell;Rust;Zig,Oracle,Elasticsearch;Microsoft SQL Server;MySQL;Redis,,,,,IntelliJ IDEA;Notepad++;Visual Studio;Visual Studio Code,CLion;IntelliJ IDEA;Notepad++;Visual Studio;Visual Studio Code,Windows,18-24 years old,.NET (5+) ;OpenGL,.NET (5+) ;.NET MAUI;CUDA;GTK;OpenGL;Qt;RabbitMQ,Hobby;School or academic work,
78600,I am learning to code,"Not employed, but looking for work;Student, part-time",Some college/university study without earning a degree,,,2,Student,,Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;Rust;SQL;TypeScript;VBA,C#;Dart;Elixir;Go;HTML/CSS;Java;JavaScript;Kotlin;Lua;Python;Rust;SQL,Firebase Realtime Database;Microsoft SQL Server;MySQL;SQLite,Firebase Realtime Database;MySQL,Amazon Web Services (AWS);Firebase,Amazon Web Services (AWS);Firebase,ASP.NET CORE;Blazor;jQuery;Node.js;React;Spring Boot;Vue.js,ASP.NET CORE;Blazor;jQuery;Node.js,Visual Studio Code,Visual Studio Code,,18-24 years old,React Native,React Native,,
78633,I code primarily as a hobby,"Student, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,,4,,,C#;C++;HTML/CSS;Java;JavaScript;Lua;Python,C#;C++;HTML/CSS;Java;JavaScript;Python;Ruby;Rust,Couch DB;MongoDB;Redis,Cassandra;MongoDB,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Heroku;Vercel,Amazon Web Services (AWS);Cloudflare;Digital Ocean,Express;Next.js;Node.js;React,Angular;Express;Next.js;Node.js;React,Android Studio;Atom;Eclipse;IntelliJ IDEA;Neovim;PyCharm;Visual Studio;Visual Studio Code,Android Studio;Eclipse;IntelliJ IDEA;Neovim;PyCharm;Visual Studio;Visual Studio Code;Xcode,Android;Other Linux-based;Windows,Under 18 years old,OpenGL,.NET (5+) ;OpenGL,,
78677,I am a developer by profession,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,2,7,"Developer, game or graphics",,C#;TypeScript,C#;C++,,,,,,,Visual Studio;Visual Studio Code,Visual Studio Code,Windows,25-34 years old,,,Hobby;Professional development or self-paced learning from online courses,
78779,I am a developer by profession,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,5,12,"Developer, back-end",,Elixir;HTML/CSS;JavaScript;PHP;Python;Rust;SQL;TypeScript,Elixir;Python;Rust;SQL,BigQuery;Dynamodb;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite,PostgreSQL;Redis,Amazon Web Services (AWS);Firebase;Google Cloud;Heroku;Microsoft Azure,Amazon Web Services (AWS);Google Cloud,AngularJS;Django;Flask;jQuery;Phoenix;React,Flask;Phoenix,Visual Studio Code,Visual Studio Code,Other Linux-based,25-34 years old,Cordova;Keras;NumPy;Pandas;RabbitMQ;Scikit-Learn;TensorFlow,Apache Kafka;NumPy;Pandas;RabbitMQ;Scikit-Learn,Hobby;Professional development or self-paced learning from online courses;School or academic work,
78876,I am learning to code,"Student, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,,1,,,C#,C#,,,,,,,Visual Studio,Visual Studio,,18-24 years old,.NET (5+) ,,,
78886,I am a developer by profession,"Employed, full-time",Some college/university study without earning a degree,500 to 999 employees,4,5,"Developer, back-end",30431.0,Ruby,Go;Ruby,BigQuery;InfluxDB;PostgreSQL;Redis,Elasticsearch;PostgreSQL;Redis,Google Cloud,Google Cloud,Ruby on Rails,Ruby on Rails,Vim;Visual Studio Code,Visual Studio Code,Ubuntu,25-34 years old,Apache Kafka,Apache Kafka;RabbitMQ,Hobby,
78927,I code primarily as a hobby,"Not employed, but looking for work;Student, part-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,,4,Student,,Bash/Shell (all shells);C;C++;Rust,Assembly;C;HTML/CSS;JavaScript;Rust,,,,,,,Helix;Neovim,Neovim,Arch,Under 18 years old,.NET (5+) ;GTK;OpenGL,OpenGL,,
78993,I am a developer by profession,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",5,8,"Developer, full-stack",30431.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;MATLAB;Python;SQL;TypeScript,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,Cloud Firestore;Cosmos DB;Firebase Realtime Database;Microsoft SQL Server;MongoDB;Oracle,Cloud Firestore;Cosmos DB;Elasticsearch;Firebase Realtime Database;Microsoft SQL Server;PostgreSQL,Firebase;Microsoft Azure,Amazon Web Services (AWS);Firebase;Microsoft Azure,React,Angular;Deno;Next.js;React;Svelte;Vue.js,Android Studio;Jupyter Notebook/JupyterLab;Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio Code,Windows,25-34 years old,.NET (5+) ;.NET Framework (1.0 - 4.8);Apache Kafka;Apache Spark;Electron;Pandas;React Native,.NET (5+) ;Apache Spark;Flutter;TensorFlow,Hobby;Professional development or self-paced learning from online courses,
79072,I am a developer by profession,"Employed, full-time",Some college/university study without earning a degree,2 to 9 employees,22,25,"Developer, full-stack",,HTML/CSS;JavaScript;PHP,,MariaDB;MySQL,,Amazon Web Services (AWS);Digital Ocean,,CodeIgniter;Express;jQuery;Node.js;Svelte,,TextMate,,Debian;MacOS;Ubuntu,35-44 years old,,,Hobby,
79148,I am a developer by profession,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,12,12,"Developer, full-stack",20288.0,JavaScript;PHP;TypeScript,JavaScript;PHP;TypeScript,MySQL,MySQL,Amazon Web Services (AWS);Digital Ocean,Amazon Web Services (AWS);Digital Ocean,Laravel;Nuxt.js;Vue.js,Laravel;Nuxt.js;Vue.js,PhpStorm;Visual Studio Code,DataGrip;PhpStorm,MacOS,25-34 years old,,,Professional development or self-paced learning from online courses;Freelance/contract work;School or academic work,
79167,I code primarily as a hobby,"Student, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,,7,,,C;HTML/CSS;JavaScript;Python;Rust;TypeScript,Go;Python;Rust;TypeScript;Zig,PostgreSQL,SQLite,,,Node.js;Svelte,Qwik;Svelte,Neovim;Visual Studio Code,Neovim;Visual Studio Code,,18-24 years old,Torch/PyTorch,Torch/PyTorch,,
79184,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,10,11,"Developer, full-stack",80339.0,Go;HTML/CSS;JavaScript;Ruby;TypeScript,Elixir,MySQL;PostgreSQL;Redis,Elasticsearch;PostgreSQL;Redis,Amazon Web Services (AWS);Google Cloud,Amazon Web Services (AWS),Remix;Ruby on Rails;Vue.js,Phoenix;Remix;Ruby on Rails,IntelliJ IDEA;RubyMine;Visual Studio Code,IntelliJ IDEA;RubyMine,iOS;MacOS,25-34 years old,,,I don’t code outside of work,
79223,"I am not primarily a developer, but I write code sometimes as part of my work/studies","Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,3,5,Data or business analyst,,Python;SQL,Python;SQL,Microsoft SQL Server,Microsoft SQL Server,,,,,Notepad++;Visual Studio Code,Jupyter Notebook/JupyterLab;Notepad++;Visual Studio Code,Windows,18-24 years old,Hugging Face Transformers;NumPy;Pandas;Scikit-Learn;Torch/PyTorch,CUDA;Hugging Face Transformers;Keras;NumPy;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,Professional development or self-paced learning from online courses,
79239,I code primarily as a hobby,"Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,,,10,"Developer, full-stack",,C;C#;C++;Delphi;Lua;Python;Rust,C#;C++;Delphi;Python;Rust;TypeScript,MariaDB;MongoDB;MySQL;SQLite,PostgreSQL,Cloudflare;Firebase,Amazon Web Services (AWS);Cloudflare,,,"IntelliJ IDEA;Notepad++;PyCharm;Rad Studio (Delphi, C++ Builder);Visual Studio;Visual Studio Code",IntelliJ IDEA;PyCharm;Visual Studio;Visual Studio Code,Windows,18-24 years old,.NET (5+) ;.NET Framework (1.0 - 4.8);MFC,.NET (5+) ;.NET Framework (1.0 - 4.8),Hobby;Contribute to open-source projects;School or academic work,
79241,"I am not primarily a developer, but I write code sometimes as part of my work/studies","Not employed, but looking for work;Student, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,,8,"Developer, full-stack",,C;C++;HTML/CSS;JavaScript;Julia;Python;TypeScript,APL;C;C++;HTML/CSS;JavaScript;Julia;Rust;TypeScript,MongoDB;MySQL;Supabase,MySQL,Netlify;Vercel,Vercel,Deno;Node.js;Nuxt.js;Svelte,Next.js;Node.js;Nuxt.js;Svelte,Nano;Visual Studio Code,Visual Studio Code,Fedora;Ubuntu,25-34 years old,NumPy;OpenGL;Scikit-Learn;Torch/PyTorch,NumPy;RabbitMQ;Scikit-Learn;TensorFlow;Torch/PyTorch,,
79261,I code primarily as a hobby,"Student, full-time",Primary/elementary school,,,4,,,C#;PowerShell;Python,C#;JavaScript;Python,,,Digital Ocean;Oracle Cloud Infrastructure (OCI),Digital Ocean;Google Cloud,,,Notepad++;PyCharm;Visual Studio;Visual Studio Code,Notepad++;PyCharm;Visual Studio;Visual Studio Code,ChromeOS,Under 18 years old,TensorFlow;Torch/PyTorch,,,
79299,I am a developer by profession,"Employed, part-time;Student, part-time",Some college/university study without earning a degree,,,3,DevOps specialist,,Groovy;Java,Go;Java,Dynamodb;Oracle,,Amazon Web Services (AWS),Amazon Web Services (AWS);Google Cloud,,,IntelliJ IDEA;Visual Studio Code,IntelliJ IDEA;Visual Studio Code,Ubuntu,18-24 years old,Apache Kafka;Spring Framework,Apache Kafka;Spring Framework,Hobby;School or academic work,
79349,I am a developer by profession,"Employed, full-time",Some college/university study without earning a degree,20 to 99 employees,8,20,"Developer, full-stack",20288.0,C#;HTML/CSS;JavaScript;PHP;Python;SQL,Kotlin;Lua;Swift,Elasticsearch;PostgreSQL;Redis,Firebase Realtime Database;MongoDB,Google Cloud;VMware,Firebase,Laravel;Node.js;Symfony;Vue.js,React,Nano;Sublime Text;Visual Studio;Visual Studio Code,Xcode,Ubuntu,25-34 years old,Apache Kafka,React Native;TensorFlow;Torch/PyTorch,Hobby;School or academic work,
79386,I am a developer by profession,"Not employed, but looking for work","Associate degree (A.A., A.S., etc.)",,,10,"Developer, back-end",,C#;HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript,C#;Delphi;Go;HTML/CSS;JavaScript;PHP;PowerShell;Python;Rust;SQL;TypeScript,Microsoft SQL Server,MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,,,ASP.NET;ASP.NET CORE;Express;jQuery;Node.js;React,ASP.NET;ASP.NET CORE;Express;jQuery;Laravel;Next.js;Node.js;React;WordPress,Visual Studio;Visual Studio Code,"Rad Studio (Delphi, C++ Builder);Visual Studio;Visual Studio Code",Android;MacOS;Ubuntu;Windows;Windows Subsystem for Linux (WSL),25-34 years old,React Native,.NET (5+) ;.NET Framework (1.0 - 4.8);Pandas;React Native,,
79446,I am a developer by profession,"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2 to 9 employees,22,30,Research & Development role,50719.0,C;Delphi;PHP,C;Delphi;PHP,MySQL;SQLite,MySQL;SQLite,Digital Ocean,Digital Ocean,,,"Eclipse;Netbeans;Notepad++;Rad Studio (Delphi, C++ Builder);Visual Studio Code","Eclipse;Netbeans;Notepad++;Rad Studio (Delphi, C++ Builder);Visual Studio Code",Windows,35-44 years old,OpenGL,OpenGL,Hobby,
79450,I am a developer by profession,"Employed, full-time",Some college/university study without earning a degree,2 to 9 employees,33,40,"Senior Executive (C-Suite, VP, etc.)",85208.0,Bash/Shell (all shells);Dart;Delphi;HTML/CSS;JavaScript;Python;SQL,Bash/Shell (all shells);Dart;Delphi;HTML/CSS;JavaScript;Python;Rust;SQL,Firebird;SQLite,Cloud Firestore;Firebird;PostgreSQL;SQLite,Digital Ocean;Oracle Cloud Infrastructure (OCI),"Digital Ocean;Firebase;Linode, now Akamai;Microsoft Azure;Vultr",FastAPI;Flask;Vue.js,FastAPI;Flask;Vue.js,"Rad Studio (Delphi, C++ Builder);Visual Studio Code","Rad Studio (Delphi, C++ Builder);Visual Studio Code",Ubuntu;Windows,45-54 years old,Flutter;Xamarin,Flutter;NumPy;Pandas;TensorFlow;Torch/PyTorch,Hobby;Bootstrapping a business,
79609,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,10 to 19 employees,28,30,"Developer, desktop or enterprise applications",200000.0,Delphi;JavaScript;Python;TypeScript,Delphi;JavaScript;Python;TypeScript,Firebird,Firebird,Amazon Web Services (AWS);Vultr,Amazon Web Services (AWS);Vultr,Vue.js,Vue.js,Notepad++,Notepad++,Ubuntu;Windows,55-64 years old,,,Hobby;Contribute to open-source projects;Bootstrapping a business,
79615,I am a developer by profession,"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",2 to 9 employees,20,23,"Developer, desktop or enterprise applications",30431.0,Delphi,,MySQL,,Amazon Web Services (AWS),,,,,,Windows,45-54 years old,,,Professional development or self-paced learning from online courses,
79651,I code primarily as a hobby,"Student, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,,8,,,JavaScript;TypeScript,JavaScript;TypeScript,,,,,Express;Node.js;React,Express;Next.js;Node.js;React;Solid.js;Svelte,Visual Studio Code,Visual Studio Code,Fedora,Under 18 years old,,,,
79671,I am a developer by profession,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,25,30,"Developer, desktop or enterprise applications",,Delphi,Delphi,Firebird;Microsoft SQL Server;PostgreSQL,Firebird;Microsoft SQL Server;PostgreSQL,,,Laravel;Ruby on Rails,Laravel;Ruby on Rails,"Notepad++;Rad Studio (Delphi, C++ Builder);Visual Studio Code","Notepad++;Rad Studio (Delphi, C++ Builder);Visual Studio Code",Windows;Windows Subsystem for Linux (WSL),45-54 years old,,,Hobby,
79686,I am a developer by profession,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,2,4,"Developer, back-end",1014.0,Delphi,Delphi,Elasticsearch;Firebird,Elasticsearch;Firebird,Amazon Web Services (AWS);Google Cloud;Heroku;Oracle Cloud Infrastructure (OCI);Vercel,Amazon Web Services (AWS);Google Cloud;Oracle Cloud Infrastructure (OCI);Vercel,Express;Node.js,Express;Node.js,"Notepad++;Rad Studio (Delphi, C++ Builder);Visual Studio Code","Notepad++;Rad Studio (Delphi, C++ Builder);Visual Studio Code",Ubuntu;Windows;Windows Subsystem for Linux (WSL),25-34 years old,,,Hobby,
79728,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,12,20,"Developer, full-stack",8115.0,HTML/CSS;JavaScript;PHP;SQL,HTML/CSS;JavaScript;PHP;Python;SQL,MySQL;PostgreSQL;SQLite,MongoDB,,,Angular;AngularJS;Express;Laravel;Next.js;React;Svelte;Vue.js,Laravel;Next.js;Svelte;Vue.js,Sublime Text;Visual Studio Code,Visual Studio Code,Ubuntu,35-44 years old,Electron;GTK,RabbitMQ;React Native,Hobby;Professional development or self-paced learning from online courses;Freelance/contract work,
79783,I am a developer by profession,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,20,20,"Senior Executive (C-Suite, VP, etc.)",,C#;Delphi;SQL,C#;Dart;Delphi;JavaScript;SQL,MySQL,MySQL;PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS);Microsoft Azure,Node.js;React,Express;Node.js;React,"Android Studio;Rad Studio (Delphi, C++ Builder);Visual Studio Code","Android Studio;Rad Studio (Delphi, C++ Builder);Visual Studio Code",Ubuntu;Windows,35-44 years old,,,Hobby,
79789,I am a developer by profession,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",20,23,"Developer, full-stack",29011.0,Dart;JavaScript;PHP;SQL;TypeScript,Dart;JavaScript;Rust;SQL;TypeScript,PostgreSQL;SQLite,PostgreSQL;SQLite,,,Angular;Express;Laravel;Svelte,Express;Fastify;Svelte,Visual Studio Code,Visual Studio Code,Ubuntu,35-44 years old,Flutter;Tauri,Flutter;Tauri,Hobby;Professional development or self-paced learning from online courses,
79803,I am a developer by profession,"Independent contractor, freelancer, or self-employed","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Just me - I am a freelancer, sole proprietor, etc.",27,25,Research & Development role,50719.0,C++;Delphi;HTML/CSS;PHP;Python;SQL,Lua;Ruby;Rust,Firebird;PostgreSQL,,,,Drupal,,"Code::Blocks;Notepad++;Rad Studio (Delphi, C++ Builder);Visual Studio Code",,,45-54 years old,,,Contribute to open-source projects;School or academic work,
79872,"I am not primarily a developer, but I write code sometimes as part of my work/studies","Employed, full-time",Some college/university study without earning a degree,"10,000 or more employees",2,2,"Developer, front-end",20288.0,VBA,VBA,,,,,,,,,,35-44 years old,,,Hobby;Professional development or self-paced learning from online courses,
79899,"I am not primarily a developer, but I write code sometimes as part of my work/studies","Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Just me - I am a freelancer, sole proprietor, etc.",1,4,Project manager,,Delphi;Python;R;SQL,Delphi;Python;R;SQL,Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL,Microsoft SQL Server;MongoDB;MySQL;PostgreSQL,,,WordPress,ASP.NET;Node.js;Vue.js;WordPress,Android Studio;Eclipse;IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;Notepad++;PyCharm;RStudio;Sublime Text;Visual Studio;Visual Studio Code,Jupyter Notebook/JupyterLab;RStudio;Sublime Text;Visual Studio Code,Windows,45-54 years old,.NET (5+) ;Apache Spark;CUDA;Hadoop;Keras;NumPy;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch;Xamarin,.NET (5+) ;Apache Spark;CUDA;Flutter;Hadoop;Keras;NumPy;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,Professional development or self-paced learning from online courses,
79901,I code primarily as a hobby,"Student, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,,1,,,Dart;HTML/CSS;Java;JavaScript;Kotlin;Lua;PowerShell;Python;Rust;SQL;TypeScript,Bash/Shell (all shells);Dart;Go;HTML/CSS;JavaScript;Lua;PowerShell;Python;Rust;SQL;TypeScript,MongoDB;PostgreSQL;SQLite,Cloud Firestore;MongoDB;PostgreSQL;Redis;SQLite,Vercel,Firebase;Vercel,Django;Flask;Next.js;Node.js;React;Svelte,Deno;Next.js;Node.js;React;Svelte,Android Studio;PyCharm;Visual Studio Code,Android Studio;Neovim;Visual Studio Code,,18-24 years old,Flutter;NumPy;Pandas;Tauri;Torch/PyTorch,Flutter;NumPy;Pandas;Tauri;Torch/PyTorch,,
79917,I am a developer by profession,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,10,13,"Developer, front-end",20288.0,HTML/CSS;JavaScript;Rust,HTML/CSS;JavaScript;Rust,Firebase Realtime Database,Firebase Realtime Database,Amazon Web Services (AWS);Digital Ocean;Firebase;Google Cloud,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Google Cloud;Netlify;Vercel,Express;Next.js;Node.js;Nuxt.js;React;Vue.js,Express;Node.js;Nuxt.js;Svelte;Vue.js,Visual Studio Code,Visual Studio Code,Android;iOS;MacOS,35-44 years old,Tauri,Tauri,Hobby;Contribute to open-source projects,
79920,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2 to 9 employees,35,40,"Developer, desktop or enterprise applications",,Delphi;HTML/CSS;JavaScript;Visual Basic (.Net),Delphi;HTML/CSS;JavaScript;Visual Basic (.Net),Firebird;Microsoft Access,Firebird;Microsoft Access,Microsoft Azure,Microsoft Azure,ASP.NET,ASP.NET,"Notepad++;Rad Studio (Delphi, C++ Builder);Visual Studio","Notepad++;Rad Studio (Delphi, C++ Builder);Visual Studio",Windows,65 years or older,.NET Framework (1.0 - 4.8),.NET Framework (1.0 - 4.8),I don’t code outside of work,
79948,I am a developer by profession,"Not employed, but looking for work;Student, part-time",Some college/university study without earning a degree,,,8,"Developer, desktop or enterprise applications",,Bash/Shell (all shells);C#;JavaScript;PowerShell,Bash/Shell (all shells);C;Clojure;Haskell;Lisp;PHP;Python;TypeScript,Firebird;MariaDB;MySQL,Firebird;MariaDB;MongoDB;MySQL,Firebase,,ASP.NET CORE;jQuery;Laravel;WordPress,Django,Neovim;PyCharm;Visual Studio Code,Emacs;Neovim,Debian;Windows,18-24 years old,.NET (5+) ;NumPy,,,
79950,I am a developer by profession,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",500 to 999 employees,22,24,"Developer, full-stack",4451577.0,C#;Delphi;HTML/CSS;Java;JavaScript;PHP;Python;SQL;Swift,C#;Delphi;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;SQL;Swift,Firebase Realtime Database;Microsoft SQL Server;Oracle;PostgreSQL,Firebase Realtime Database;Microsoft SQL Server;Oracle;PostgreSQL,Amazon Web Services (AWS);Firebase;Google Cloud;Microsoft Azure,Amazon Web Services (AWS);Firebase;Google Cloud;Microsoft Azure,ASP.NET;ASP.NET CORE;jQuery;React,ASP.NET;ASP.NET CORE;jQuery;React,"Android Studio;Eclipse;Netbeans;Rad Studio (Delphi, C++ Builder);Visual Studio;Visual Studio Code;Xcode","Android Studio;Eclipse;Netbeans;Rad Studio (Delphi, C++ Builder);Visual Studio;Visual Studio Code;Xcode",Android;iOS;Ubuntu;Windows,45-54 years old,.NET (5+) ;.NET Framework (1.0 - 4.8);Opencv;Quarkus;React Native,.NET (5+) ;.NET Framework (1.0 - 4.8);Opencv;Quarkus;SwiftUI,Bootstrapping a business;Professional development or self-paced learning from online courses;School or academic work,
79959,I am a developer by profession,"Student, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,,5,,,C;Python,Rust,,,,,,,Neovim,Neovim,Arch,18-24 years old,,,,
79964,"I am not primarily a developer, but I write code sometimes as part of my work/studies","Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2 to 9 employees,5,14,"Developer, full-stack",,JavaScript;Python,Dart;JavaScript;Python;TypeScript,MySQL;PostgreSQL;Redis;SQLite,MySQL;PostgreSQL;Redis;SQLite;Supabase,Cloudflare;Google Cloud,Cloudflare;Google Cloud;Vercel,FastAPI,FastAPI;Fastify;Next.js;Qwik,IPython;Jupyter Notebook/JupyterLab;Nano;Visual Studio Code,IPython;Jupyter Notebook/JupyterLab;Nano;Visual Studio Code,Ubuntu;Windows;Windows Subsystem for Linux (WSL),25-34 years old,NumPy;Pandas,NumPy;Pandas;React Native,Hobby;Bootstrapping a business;Professional development or self-paced learning from online courses;Freelance/contract work,
80005,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,10 to 19 employees,20,22,"Senior Executive (C-Suite, VP, etc.)",,Bash/Shell (all shells);JavaScript;Kotlin;Python;SQL;Swift;TypeScript,Bash/Shell (all shells);JavaScript;Kotlin;Python;SQL;Swift;TypeScript,Cloud Firestore;Elasticsearch;MongoDB;MySQL;PostgreSQL,Cloud Firestore;Elasticsearch;MongoDB;MySQL;PostgreSQL,Amazon Web Services (AWS);Firebase;Google Cloud,Amazon Web Services (AWS);Firebase;Google Cloud,Django;Express;Next.js;Node.js;React,Django;Express;Next.js;Node.js;React;Solid.js,Android Studio;IPython;Jupyter Notebook/JupyterLab;Vim;Visual Studio Code;Xcode,IPython;Vim;Visual Studio Code,Android;Arch;Debian;iOS;MacOS;Other Linux-based;Ubuntu;Windows;Windows Subsystem for Linux (WSL),35-44 years old,Pandas,SwiftUI,Hobby;Bootstrapping a business,
